category,month,total_sales,total_profit
Furniture,Sep,161154.0,26547.0
Furniture,Oct,152060.0,28447.0
Furniture,Mar,182002.0,33514.0
Office Supplies,Feb,406262.0,72490.0
Technology,Jul,149613.0,26449.0
Office Supplies,Dec,470143.0,81520.0
Furniture,Aug,145906.0,26319.0
Office Supplies,Jul,375989.0,69134.0
Office Supplies,Jun,354049.0,63886.0
Technology,Sep,118963.0,21472.0
Technology,Dec,173883.0,30245.0
Technology,Jun,167255.0,30718.0
Office Supplies,Jan,435700.0,76712.0
Technology,Aug,143763.0,24881.0
Technology,Oct,183480.0,29831.0
Technology,Jan,154025.0,28417.0
Office Supplies,Mar,438915.0,72628.0
Office Supplies,Aug,390221.0,69983.0
Office Supplies,Sep,361662.0,61943.0
Office Supplies,Oct,442571.0,77204.0
Furniture,Nov,144837.0,24302.0
Office Supplies,Nov,381545.0,63673.0
Technology,May,145458.0,24125.0
Furniture,Feb,117824.0,22476.0
Office Supplies,Apr,374721.0,66015.0
Furniture,Jan,131078.0,23818.0
Furniture,Jun,108931.0,18871.0
Technology,Nov,169658.0,29435.0
Technology,Mar,131823.0,22936.0
Technology,Feb,131880.0,21946.0
Furniture,Apr,152861.0,27053.0
Technology,Apr,164944.0,28272.0
Furniture,Dec,140948.0,25001.0
Office Supplies,May,433345.0,77559.0
Furniture,Jul,118653.0,21081.0
Furniture,May,138766.0,26358.0
