region,month_name,total_sales
South,Mar,166575.0
South,Jan,142892.0
East,Apr,245236.0
East,Nov,226061.0
Central,May,192224.0
East,Mar,240942.0
Central,Oct,178622.0
South,Nov,140663.0
Central,Apr,195662.0
South,Jul,102362.0
Central,Mar,216937.0
East,Jan,251525.0
West,Apr,245176.0
East,Sep,214098.0
South,Sep,152306.0
West,Aug,216898.0
Central,Nov,168416.0
South,Feb,154778.0
West,Mar,245095.0
South,Dec,166647.0
East,Feb,226191.0
West,Dec,283809.0
West,Sep,228526.0
Central,Sep,180596.0
South,Aug,142448.0
East,Jun,207665.0
West,Jan,256807.0
South,Apr,135301.0
Central,Dec,178591.0
West,Oct,249779.0
Central,Jun,171615.0
Central,Aug,190088.0
East,Oct,291231.0
West,Jun,239900.0
West,Jul,234952.0
West,Nov,247457.0
East,Dec,252121.0
South,Jun,133022.0
East,Jul,218926.0
East,May,232906.0
South,Oct,174576.0
Central,Jul,194448.0
Central,Jan,172376.0
East,Aug,231870.0
Central,Feb,191105.0
South,May,165934.0
West,May,226859.0
West,Feb,170427.0
