state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,177,1
Alabama,Binders,145,2
Alabama,Furnishings,106,3
Alabama,Accessories,103,4
Alabama,Art,99,5
Alabama,Storage,86,6
Alabama,Phones,85,7
Alabama,Chairs,58,8
Alabama,Envelopes,49,9
Alabama,Appliances,42,10
Alabama,Tables,34,11
Alabama,Labels,30,12
Alabama,Machines,29,13
Alabama,Bookcases,28,14
Alabama,Supplies,25,15
Alabama,Fasteners,20,16
Alabama,Copiers,8,17
Arizona,Paper,552,1
Arizona,Binders,476,2
Arizona,Furnishings,422,3
Arizona,Phones,398,4
Arizona,Art,329,5
Arizona,Accessories,323,6
Arizona,Storage,289,7
Arizona,Appliances,223,8
Arizona,Chairs,209,9
Arizona,Labels,168,10
Arizona,Envelopes,137,11
Arizona,Bookcases,133,12
Arizona,Tables,130,13
Arizona,Machines,130,13
Arizona,Fasteners,67,15
Arizona,Supplies,63,16
Arizona,Copiers,31,17
Arkansas,Furnishings,65,1
Arkansas,Phones,63,2
Arkansas,Art,55,3
Arkansas,Paper,44,4
Arkansas,Binders,40,5
Arkansas,Storage,27,6
Arkansas,Appliances,25,7
Arkansas,Fasteners,23,8
Arkansas,Accessories,20,9
Arkansas,Labels,18,10
Arkansas,Machines,15,11
Arkansas,Tables,15,11
Arkansas,Chairs,13,13
Arkansas,Envelopes,4,14
California,Paper,4093,1
California,Binders,3125,2
California,Phones,2797,3
California,Art,2618,4
California,Furnishings,2496,5
California,Accessories,2189,6
California,Storage,1963,7
California,Appliances,1580,8
California,Chairs,1279,9
California,Machines,1113,10
California,Labels,1079,11
California,Tables,823,12
California,Envelopes,809,13
California,Bookcases,797,14
California,Supplies,611,15
California,Fasteners,579,16
California,Copiers,199,17
Colorado,Binders,491,1
Colorado,Paper,479,2
Colorado,Furnishings,354,3
Colorado,Phones,332,4
Colorado,Art,332,4
Colorado,Storage,282,6
Colorado,Accessories,253,7
Colorado,Chairs,189,8
Colorado,Appliances,175,9
Colorado,Machines,140,10
Colorado,Labels,136,11
Colorado,Bookcases,114,12
Colorado,Tables,109,13
Colorado,Supplies,108,14
Colorado,Envelopes,106,15
Colorado,Fasteners,51,16
Colorado,Copiers,17,17
Connecticut,Paper,106,1
Connecticut,Binders,104,2
Connecticut,Furnishings,97,3
Connecticut,Art,86,4
Connecticut,Phones,85,5
Connecticut,Accessories,73,6
Connecticut,Storage,70,7
Connecticut,Appliances,65,8
Connecticut,Labels,48,9
Connecticut,Machines,44,10
Connecticut,Chairs,31,11
Connecticut,Envelopes,25,12
Connecticut,Supplies,24,13
Connecticut,Fasteners,23,14
Connecticut,Bookcases,22,15
Connecticut,Tables,21,16
Connecticut,Copiers,2,17
Delaware,Storage,159,1
Delaware,Furnishings,158,2
Delaware,Paper,117,3
Delaware,Phones,88,4
Delaware,Binders,86,5
Delaware,Accessories,86,5
Delaware,Appliances,74,7
Delaware,Art,67,8
Delaware,Machines,67,8
Delaware,Chairs,61,10
Delaware,Envelopes,41,11
Delaware,Bookcases,39,12
Delaware,Labels,39,12
Delaware,Supplies,28,14
Delaware,Tables,19,15
Delaware,Fasteners,19,15
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Labels,14,3
District of Columbia,Furnishings,12,4
District of Columbia,Art,9,5
District of Columbia,Fasteners,7,6
District of Columbia,Machines,7,6
District of Columbia,Accessories,6,8
District of Columbia,Chairs,5,9
District of Columbia,Phones,5,9
District of Columbia,Envelopes,3,11
District of Columbia,Appliances,2,12
Florida,Paper,810,1
Florida,Binders,624,2
Florida,Art,496,3
Florida,Phones,481,4
Florida,Furnishings,421,5
Florida,Accessories,405,6
Florida,Storage,355,7
Florida,Chairs,262,8
Florida,Appliances,249,9
Florida,Labels,200,10
Florida,Tables,178,11
Florida,Machines,146,12
Florida,Fasteners,132,13
Florida,Envelopes,121,14
Florida,Bookcases,110,15
Florida,Supplies,106,16
Florida,Copiers,27,17
Georgia,Paper,338,1
Georgia,Binders,296,2
Georgia,Phones,270,3
Georgia,Furnishings,247,4
Georgia,Art,169,5
Georgia,Appliances,149,6
Georgia,Chairs,140,7
Georgia,Storage,127,8
Georgia,Accessories,109,9
Georgia,Tables,90,10
Georgia,Bookcases,87,11
Georgia,Labels,78,12
Georgia,Machines,70,13
Georgia,Envelopes,57,14
Georgia,Fasteners,41,15
Georgia,Supplies,38,16
Georgia,Copiers,9,17
Illinois,Paper,980,1
Illinois,Binders,737,2
Illinois,Furnishings,732,3
Illinois,Phones,723,4
Illinois,Art,505,5
Illinois,Accessories,467,6
Illinois,Storage,466,7
Illinois,Appliances,405,8
Illinois,Chairs,369,9
Illinois,Machines,264,10
Illinois,Labels,249,11
Illinois,Tables,229,12
Illinois,Envelopes,221,13
Illinois,Bookcases,175,14
Illinois,Fasteners,132,15
Illinois,Supplies,125,16
Illinois,Copiers,40,17
Indiana,Paper,223,1
Indiana,Binders,185,2
Indiana,Phones,149,3
Indiana,Accessories,146,4
Indiana,Furnishings,139,5
Indiana,Art,138,6
Indiana,Storage,113,7
Indiana,Appliances,85,8
Indiana,Chairs,77,9
Indiana,Bookcases,60,10
