state,total_sales,total_customers
Alabama,55425.0,23
Arizona,315479.0,80
Arkansas,55819.0,6
California,2134214.0,489
Colorado,249750.0,59
Connecticut,80279.0,19
Delaware,79057.0,17
District of Columbia,6729.0,2
Florida,398114.0,81
Georgia,143539.0,57
Illinois,482593.0,127
Indiana,125490.0,32
Iowa,25146.0,13
Kansas,36327.0,4
Kentucky,266427.0,40
Louisiana,57727.0,24
Maryland,37557.0,10
Massachusetts,129280.0,31
Michigan,215442.0,45
Minnesota,172203.0,30
Mississippi,60993.0,13
Missouri,67416.0,21
Nebraska,2353.0,4
Nevada,16288.0,11
New Hampshire,25839.0,8
New Jersey,176563.0,38
New Mexico,5662.0,8
New York,1079390.0,266
North Carolina,308118.0,88
Ohio,528809.0,124
Oklahoma,40550.0,9
Oregon,35846.0,5
Pennsylvania,586410.0,142
Rhode Island,57954.0,12
South Dakota,2397.0,4
Tennessee,169406.0,44
Texas,1044913.0,236
Utah,64050.0,18
Virginia,232275.0,51
Washington,494963.0,132
Wisconsin,75172.0,28
